run,type,module,name,attrname,attrvalue,value
UniformCQI-3-20180915-18:13:04-15158,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI-3-20180915-18:13:04-15158,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI-3-20180915-18:13:04-15158,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI-3-20180915-18:13:04-15158,param,,,CellularNetwork.users[*].fixedCQI,0,
UniformCQI-3-20180915-18:13:04-15158,param,,,**.webServer[*].fixedRate,false,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,configname,UniformCQI,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,datetime,20180915-18:13:04,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,experiment,UniformCQI,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,inifile,omnetpp.ini,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,iterationvars,$usertraffic=0.1,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,iterationvarsf,usertraffic=0.1-,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,measurement,$usertraffic=0.1,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,processid,15159,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,repetition,4,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,replication,#4,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,resultdir,results,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,runnumber,4,
UniformCQI-4-20180915-18:13:04-15159,runattr,,,seedset,4,
UniformCQI-4-20180915-18:13:04-15159,itervar,,,usertraffic,0.1,
UniformCQI-4-20180915-18:13:04-15159,param,,,**.webServer[*].lambda,0.1,
UniformCQI-4-20180915-18:13:04-15159,param,,,**.bestCQIScheduler,false,
UniformCQI-4-20180915-18:13:04-15159,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI-4-20180915-18:13:04-15159,param,,,**.nUsersCell,10,
UniformCQI-4-20180915-18:13:04-15159,param,,,**.**.timeFramePeriod,1ms,
UniformCQI-4-20180915-18:13:04-15159,param,,,**.**.nFrameSlots,25,
UniformCQI-4-20180915-18:13:04-15159,param,,,**.webServer[*].size_uniform_a,3,
UniformCQI-4-20180915-18:13:04-15159,param,,,**.webServer[*].size_uniform_b,75,
UniformCQI-4-20180915-18:13:04-15159,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI-4-20180915-18:13:04-15159,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI-4-20180915-18:13:04-15159,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI-4-20180915-18:13:04-15159,param,,,CellularNetwork.users[*].fixedCQI,0,
UniformCQI-4-20180915-18:13:04-15159,param,,,**.webServer[*].fixedRate,false,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,configname,UniformCQI,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,datetime,20180915-18:13:04,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,experiment,UniformCQI,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,inifile,omnetpp.ini,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,iterationvars,$usertraffic=0.1,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,iterationvarsf,usertraffic=0.1-,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,measurement,$usertraffic=0.1,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,processid,15168,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,repetition,5,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,replication,#5,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,resultdir,results,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,runnumber,5,
UniformCQI-5-20180915-18:13:04-15168,runattr,,,seedset,5,
UniformCQI-5-20180915-18:13:04-15168,itervar,,,usertraffic,0.1,
UniformCQI-5-20180915-18:13:04-15168,param,,,**.webServer[*].lambda,0.1,
UniformCQI-5-20180915-18:13:04-15168,param,,,**.bestCQIScheduler,false,
UniformCQI-5-20180915-18:13:04-15168,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI-5-20180915-18:13:04-15168,param,,,**.nUsersCell,10,
UniformCQI-5-20180915-18:13:04-15168,param,,,**.**.timeFramePeriod,1ms,
