run,type,module,name,attrname,attrvalue,value
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,measurement,$usertraffic=0.1,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,network,rrcellnet.CellularNetwork,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,processid,24606,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,repetition,6,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,replication,#6,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,resultdir,results,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,runnumber,6,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,seedset,6,
NoFramingTest-6-20180914-15:53:55-24606,itervar,,,usertraffic,0.1,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.webServer[*].lambda,0.1,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.bestCQIScheduler,false,
NoFramingTest-6-20180914-15:53:55-24606,param,,,CellularNetwork.users[*].isBinomial,false,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.webServer[*].size_uniform_a,25,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.webServer[*].size_uniform_b,25,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.nUsersCell,10,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.**.timeFramePeriod,1ms,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.**.nFrameSlots,25,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.webServer[*].size_uniform_a,3,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.webServer[*].size_uniform_b,75,
NoFramingTest-6-20180914-15:53:55-24606,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
NoFramingTest-6-20180914-15:53:55-24606,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
NoFramingTest-6-20180914-15:53:55-24606,param,,,CellularNetwork.users[*].validationCQI,false,
NoFramingTest-6-20180914-15:53:55-24606,param,,,CellularNetwork.users[*].fixedCQI,0,
NoFramingTest-6-20180914-15:53:55-24606,param,,,**.webServer[*].fixedRate,false,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,configname,NoFramingTest,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,datetime,20180914-15:53:55,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,experiment,NoFramingTest,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,inifile,omnetpp.ini,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,iterationvars,$usertraffic=0.1,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,iterationvarsf,usertraffic=0.1-,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,measurement,$usertraffic=0.1,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,network,rrcellnet.CellularNetwork,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,processid,24611,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,repetition,7,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,replication,#7,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,resultdir,results,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,runnumber,7,
NoFramingTest-7-20180914-15:53:55-24611,runattr,,,seedset,7,
NoFramingTest-7-20180914-15:53:55-24611,itervar,,,usertraffic,0.1,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.webServer[*].lambda,0.1,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.bestCQIScheduler,false,
NoFramingTest-7-20180914-15:53:55-24611,param,,,CellularNetwork.users[*].isBinomial,false,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.webServer[*].size_uniform_a,25,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.webServer[*].size_uniform_b,25,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.nUsersCell,10,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.**.timeFramePeriod,1ms,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.**.nFrameSlots,25,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.webServer[*].size_uniform_a,3,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.webServer[*].size_uniform_b,75,
NoFramingTest-7-20180914-15:53:55-24611,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
NoFramingTest-7-20180914-15:53:55-24611,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
NoFramingTest-7-20180914-15:53:55-24611,param,,,CellularNetwork.users[*].validationCQI,false,
NoFramingTest-7-20180914-15:53:55-24611,param,,,CellularNetwork.users[*].fixedCQI,0,
NoFramingTest-7-20180914-15:53:55-24611,param,,,**.webServer[*].fixedRate,false,
NoFramingTest-8-20180914-15:53:56-24622,runattr,,,configname,NoFramingTest,
NoFramingTest-8-20180914-15:53:56-24622,runattr,,,datetime,20180914-15:53:56,
NoFramingTest-8-20180914-15:53:56-24622,runattr,,,experiment,NoFramingTest,
