run,type,module,name,attrname,attrvalue,value
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,processid,26854,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,repetition,1,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,replication,#1,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,resultdir,results,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,runnumber,1,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,seedset,1,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,itervar,,,usertraffic,0.1,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,**.bestCQIScheduler,true,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,**.webServer[*].lambda,0.1,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,**.bestCQIScheduler,false,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,**.nUsersCell,10,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,**.**.timeFramePeriod,1ms,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,**.**.nFrameSlots,25,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,**.webServer[*].size_uniform_a,3,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,**.webServer[*].size_uniform_b,75,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,CellularNetwork.users[*].fixedCQI,0,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,param,,,**.webServer[*].fixedRate,false,
UniformCQI_bestCQIScheduler-4-20180914-17:34:47-26890,runattr,,,configname,UniformCQI_bestCQIScheduler,
UniformCQI_bestCQIScheduler-4-20180914-17:34:47-26890,runattr,,,datetime,20180914-17:34:47,
